param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_n_estimators,params,mean_test_Recall,rank_test_Recall,mean_test_Precision,rank_test_Precision,mean_test_F1,rank_test_F1,mean_test_Accuracy,rank_test_Accuracy,mean_test_Balanced accuracy,rank_test_Balanced accuracy,mean_test_AUROC,rank_test_AUROC
entropy,20,sqrt,0.2,5,500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 500}",0.9641203703703703,81,1.0,1,0.9804855275443511,81,0.9847587719298246,81,0.9820601851851851,81,0.9995265151515151,45
entropy,20,sqrt,0.2,5,500,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 500}",0.9641203703703703,81,1.0,1,0.9804855275443511,81,0.9847587719298246,81,0.9820601851851851,81,0.9995265151515151,45
gini,5,sqrt,0.2,10,1500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,0.9991056397306397,73
gini,5,sqrt,0.2,10,1500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,0.9991056397306397,73
gini,20,sqrt,0.2,10,1500,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,0.9991056397306397,73
gini,20,sqrt,0.2,10,1500,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1500}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,0.9991056397306397,73
gini,5,sqrt,0.2,10,1000,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,0.9986321548821548,77
gini,5,sqrt,0.2,10,1000,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,0.9986321548821548,77
gini,20,sqrt,0.2,10,1000,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,0.9986321548821548,77
gini,20,sqrt,0.2,10,1000,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1000}",0.9693287037037037,49,1.0,1,0.9836601307189543,49,0.986951754385965,49,0.9846643518518517,49,0.9986321548821548,77
